Country,State/Province/Department,Zone/Region/Provincia,City/Canton/District/Municipality/Woreda/Municipio/Commune,Area/Towns/Village/Sector/Colonia/Kebele,Farm/Fazenda/MicroMill/CWS,1
Colombia,Antioquia,,Concordia,,,
Colombia,Tolima,,Planadas,,,
Colombia,Antioquia,,Urrao,,,
Colombia,Antioquia,,Caicedo,,,
Colombia,Cunidinamarca,,La Mesa,,,
Colombia,Cunidinamarca,,Zipacon,,,
Colombia,Cunidinamarca,,Sasaima,,,
Colombia,Risaralda,,Marsella,,,
Colombia,Tolima,,Ibague,,,
Colombia,Tolima,,Rioblanco,,,
Colombia,Tolima,,Cajamarca,,,
Colombia,Huila,,Oporapa,,,
Colombia,Quindio,,Circasia,,,
Colombia,Quindio,,Pijao,,,
Colombia,Quindio,,Montenegro,,,
Colombia,Quindio,,Genova,,,
Colombia,Valle del Cauca,,Caicedonia,,,
Colombia,Valle del Cauca,,Pichinde,,,
Colombia,Valle del Cauca,,Trujillo,,,
Colombia,Huila,,Palestina,,,
Colombia,Huila,,Pitalito,,,
Colombia,Huila,,San Agustin,,,
Colombia,Huila,,La Argentina,,,
Colombia,Huila,,La Plata,,,
Colombia,Huila,,Miguel Angel Bonita Morales,,,
Colombia,Huila,,Guadalupe,,,
Colombia,Huila,,Suaza,,,
Colombia,Huila,,Nieva,,,
Colombia,Huila,,Algeciras,,,
Colombia,Huila,,Santa Maria,,,
Bolivia,La Paz,Caranavi,Calama,Calama,,
Bolivia,La Paz,Caranavi,Santa Fé,Loayza,,
Bolivia,La Paz,Caranavi,Taypiplaya,Amor de Dios,,
Bolivia,La Paz,Caranavi,San Pablo,San Pablo,,
Bolivia,La Paz,Caranavi,San Lorenzo,Nueva Llusta,,
Bolivia,La Paz,Caranavi,Incahuara,La Estrella,,
Bolivia,La Paz,Caranavi,Taypiplaya,Flor de Mayo,,
Bolivia,La Paz,Sud Yungas,Charia,,,
Bolivia,La Paz,Sud Yungas,Yanacachi,Takesi,,
Bolivia,La Paz,Franz Tamayo,Aten,Yanaloma,,
Bolivia,La Paz,Caranavi,Caranavi,Copacabana,,
Bolivia,La Paz,Caranavi,Caranavi,Bolinda,,
Bolivia,La Paz,Caranavi,Carrasco la Reserva,San Ignacio,,
Bolivia,La Paz,Caranavi,Carrasco la Reserva,Huchumachi/ Uchumachi,,
Bolivia,La Paz,Caranavi,Carrasco la Reserva,Sabaya,,
Bolivia,La Paz,Caranavi,Carrasco la Reserva,Chojna Pampa,,
Bolivia,La Paz,Caranavi,Chijchipani,7 estrellas,,
Bolivia,La Paz,Caranavi,Rosario Entre Rios,Alto Ascensión Segunda,,
Bolivia,La Paz,Caranavi,Rosario Entre Rios,Kantutani,,
Bolivia,La Paz,Caranavi,Rosario Entre Rios,Loa,,
Bolivia,La Paz,Caranavi,Rosario Entre Rios,8 de Septiembre,,
Bolivia,La Paz,Caranavi,Rosario Entre Rios,Manco Kapac Segunda,,
Bolivia,La Paz,Nur Yungas,Coroico,,,
Bolivia,La Paz,Caranavi,Rosario Entre Rios,Hernando de Magallanes,,
Bolivia,La Paz,Sud Yungas,Chulumani,,,
Bolivia,La Paz,Sud Yungas,Irupana,II Sección,,
Bolivia,La Paz,Sud Yungas,Chicaloma,,,
Bolivia,La Paz,Sud Yungas,Cascada,,,
Rwanda,Northern,,Burera,,,
Rwanda,Northern,,Gakenke,Coko,,
Rwanda,Northern,,Gakenke,Muhondo,,
